Molecule,Isotopologue,Dataset,Cooling Function Status
AlCl,27Al-35Cl,YNAT,✅ Done
AlCl,27Al-37Cl,YNAT,✅ Done
AlF,27Al-19F,MoLLIST,✅ Done
AlH,27Al-1H,AloHa,✅ Done
AlH,27Al-2H,AloHa,✅ Done
AlO,26Al-16O,ATP,✅ Done
AlO,27Al-16O,ATP,✅ Done
AlO,27Al-17O,ATP,✅ Done
AlO,27Al-18O,ATP,✅ Done
AsH3,75As-1H3,CYT18,✅ Done
BeH,9Be-1H,Darby-Lewis,✅ Done
BeH,9Be-2H,Darby-Lewis,✅ Done
BeH,9Be-3H,Darby-Lewis,✅ Done
C2,12C-13C,8states,✅ Done
C2,12C2,8states,✅ Done
C2,13C2,8states,✅ Done
C2H2,12C2-1H2,aCeTY,✅ Done
C2H4,12C2-1H4,MaYTY,✅ Done
C3,12C-12C-13C,AtLast,✅ Done
C3,12C-13C-12C,AtLast,✅ Done
C3,12C3,AtLast,✅ Done
CH,12C-1H,MoLLIST,✅ Done
CH,13C-1H,MoLLIST,✅ Done
CH3,12C-1H3,AYYJ,✅ Done
CH3Cl,12C-1H3-35Cl,OYT,✅ Done
CH3Cl,12C-1H3-37Cl,OYT,✅ Done
CH3F,12C-1H3-19F,OYKYT,✅ Done
CH4,12C-1H4,MM,✅ Done
CH_p,12C-1H_p,PYT,✅ Done
CH_p,13C-1H_p,PYT,✅ Done
CN,12C-14N,KTPSYT,✅ Done
CN,12C-15N,KTPSYT,✅ Done
CN,13C-14N,KTPSYT,✅ Done
CN,13C-15N,KTPSYT,✅ Done
CO,12C-16O,Li2015,✅ Done
CO,12C-17O,Li2015,✅ Done
CO,12C-18O,Li2015,✅ Done
CO,13C-16O,Li2015,✅ Done
CO,13C-17O,Li2015,✅ Done
CO,13C-18O,Li2015,✅ Done
CO2,12C-16O2,UCL-4000,✅ Done
CP,12C-31P,MoLLIST,✅ Done
CS,12C-32S,JnK,✅ Done
CS,12C-33S,JnK,✅ Done
CS,12C-34S,JnK,✅ Done
CS,12C-36S,JnK,✅ Done
CS,13C-32S,JnK,✅ Done
CS,13C-33S,JnK,✅ Done
CS,13C-34S,JnK,✅ Done
CS,13C-36S,JnK,✅ Done
CaCl,40Ca-35Cl,MoLLIST-CaCl,✅ Done
CaCl,40Ca-37Cl,MoLLIST-CaCl,✅ Done
CaF,40Ca-19F,MoLLIST,✅ Done
CaF,40Ca-19F,MoLLIST-CaF-ABX,✅ Done
CaF,42Ca-19F,MoLLIST,✅ Done
CaF,43Ca-19F,MoLLIST,✅ Done
CaF,44Ca-19F,MoLLIST,✅ Done
CaF,46Ca-19F,MoLLIST,✅ Done
CaF,48Ca-19F,MoLLIST,✅ Done
CaH,40Ca-1H,XAB,✅ Done
CaO,40Ca-16O,VBATHY,✅ Done
CaOH,40Ca-16O-1H,OYT6,✅ Done
CrH,52Cr-1H,MoLLIST,✅ Done
FeH,56Fe-1H,MoLLIST,✅ Done
H2,1H-2H,ADJSAAM,✅ Done
H2,1H2,ARLR,✅ Done
H2,1H2,RACPPK,✅ Done
H2CO,1H2-12C-16O,AYTY,❌ Not Done
H2CS,1H2-12C-32S,MOTY,❌ Not Done
H2O,1H-2H-16O,VTT,✅ Done
H2O,1H2-16O,POKAZATEL,✅ Done
H2O,1H2-17O,HotWat78,✅ Done
H2O,1H2-18O,HotWat78,✅ Done
H2O2,1H2-16O2,APTY,❌ Not Done
H2S,1H2-32S,AYT2,✅ Done
H2_p,1H-2H_p,ADJSAAM,✅ Done
H3O_p,1H3-16O_p,eXeL,❌ Not Done
H3_p,1H2-2H_p,ST,✅ Done
H3_p,1H3_p,MiZATeP,✅ Done
H3_p,2H2-1H_p,MiZo,✅ Done
H3_p,2H3_p,MiZo,✅ Done
HBO,1H-10B-16O,LQL,✅ Done
HBO,1H-11B-16O,LQL,✅ Done
HBr,1H-79Br,HITRAN-HBr,❌ Not Done
HCN,1H-12C-14N,Harris,✅ Done
HCl,1H-35Cl,HITRAN-HCl,✅ Done
HCl,1H-37Cl,HITRAN-HCl,✅ Done
HCl,2H-35Cl,HITRAN-HCl,✅ Done
HCl,2H-37Cl,HITRAN-HCl,✅ Done
HF,1H-19F,Coxon-Hajig,✅ Done
HNO3,1H-14N-16O3,AIJS,✅ Done
HeH_p,3He-1H_p,ADJSAAM,✅ Done
HeH_p,3He-2H_p,ADJSAAM,✅ Done
HeH_p,4He-1H_p,ADJSAAM,✅ Done
HeH_p,4He-2H_p,ADJSAAM,✅ Done
KCl,39K-35Cl,Barton,✅ Done
KCl,39K-37Cl,Barton,✅ Done
KCl,41K-35Cl,Barton,✅ Done
KCl,41K-37Cl,Barton,✅ Done
KF,39K-19F,MoLLIST,✅ Done
KF,41K-19F,MoLLIST,✅ Done
KOH,39K-16O-1H,OYT4,✅ Done
LaO,139La-16O,BDL,✅ Done
